id,date,title,insight,tags
L11,2026-07-07,测试的静默通过路径即谎言,isVisible().catch(()=>false) 类「入口找不到就跳过」守卫让用例烂穿仍常绿——TraceyU 实证三连：History 等一个不存在的 tab、静默跳过后把工作区截图冒充 history 基线多日；Settings Dialog 按钮改名无人知；空白页存成基线后 assertNoLayoutGap 因根容器缺失返回 0 恒等通过。人工抽查两次都没拦住、机器断言才治本。判据：测试导航一律硬断言（缺失即红）；截图断言前置结构 guard（根容器不存在即 fail）；建基线后必须肉眼验一次是真页面,测试腐化;静默守卫;假基线;硬断言;截图回归
L12,2026-07-07,恒红检查是零信息量且掩护真回归,check:tokens 棘轮基线与扫描规则脱节后恒红多日——红到没人看时新增违规与存量混在一起无从分辨、检查比不存在更糟。同理恒绿但从不可能失败的检查（永真断言/守卫跳过）同样零信息。判据：检查脚本入 CI 前先本地跑一遍确认「当前绿、可变红」；棘轮类工具的基线与扫描规则演进必须同步刷新；发现恒红/恒绿超一周即修基线或修规则不许带病,棘轮;基线漂移;CI;恒红;检查健康度
L13,2026-07-08,分支清理门控被绑死在单一合并路径上,dao-loop closing.md 归档流程把「删分支」（步骤10）放在「建PR→merge PR」（步骤6-7）之后——但实际操作中大量场景走的是直接本地 merge（无 PR），导致步骤10永远够不着，分支永久遗留。全系统同时缺一道回溯式扫描：dao-worktree 的归根门控只在当次 session 主动收尾时触发，session 被打断或走了非常规合并路径就再没有任何机制发现遗留分支。判据：分支删除的触发条件应是"已并入主线"（git merge-base --is-ancestor 判定，覆盖 merge/squash/rebase 任意方式）而非"走过 PR 流程"；除session内门控外必须有独立于任何单次工作流的periodic回溯扫描兜底,分支清理;worktree;dao-loop;PR依赖;回溯扫描;归根
L14,2026-07-12,帅位滑落与凭记忆派单,"帅位违例的实证路径是温水煮青蛙:每步单看都小(建目录→写md→写HTML→截图修图),累计即高档模型亲执工人活;且subagent默认继承主会话模型,不显式传档=最贵档干最贱活。同病另一面:派单凭会话记忆拼需求,压缩后细节必丢(邀请制写在三处文档仍被漏)。修复六条入dao.md:亲历上限(>50行/>3轮循环必派)+位分触发问+档位实证渐降+派单契约门+纠偏落档+③前帅位自检。帅亲历烧context=加速压缩=记忆流失,帅下场与帅忘事是同一个病",帅位;派单;契约;档位
L15,2026-07-12,侦察兵产出裸信是洞,"实现官产出有构建/测试/dogfood三道验证,侦察兵(调研官)产出却被裸信转述——而调研错误不炸CI,无声变成用户战略决策依据,反转成本高于代码bug。修复:合职分级验证入dao.md——实现全验/低风险盘点抽验承重论断/高风险战略依据对抗验(带出处+抽验top2-3或双侦察分歧深挖);验证可委派,终审(定标准/读结论/按合并)不可让渡",验证;侦察兵;帅位;分级
L16,2026-07-12,帅位滑落第三次复发·hook侦察型盲区,"marshal-guard hook 原仅拦 Edit|Write|MultiEdit 制作性编辑,断链排查任务中帅在同一会话内亲手做了10+轮跨三仓Grep/Read/Bash只读侦察未派斥候——帅位滑落第三次复发,且暴露hook覆盖盲区:侦察型滑落(多轮搜证/读码不动笔)不产生Edit/Write事件,完全逃过警戒。修复:新增独立'侦察连击'计数(Read/Grep/Glob+只读类Bash累加,阈值8;任意Edit/Write/MultiEdit或写类Bash清零),与制作性编辑计数并存不干扰,matcher扩至Edit|Write|MultiEdit|Read|Grep|Glob|Bash。判据:机制层警戒线必须覆盖'不产出但耗轮次'的滑落形态,不能只盯最终写入动作",帅位;hook;侦察兵;marshal-guard;第三次复发
L17,2026-07-13,只读审计官污染共享git config·worktree清理连带全仓,"体检workflow派'只读'审计官检查孤立worktree配置,误用写语法`git config core.worktree <路径>`(读语法应为`git config core.worktree`或加`--get`,不带值即写)——共享config被指向一个已删空的worktree目录,主仓库全部git命令的工作树视角瞬间错位成'全仓已删除',帅在污染态下`git add TODO.md`把幻影删除提交推上远端,伤害已全程回滚。侦破线索=提交后`git show --stat`发现异常大量deletions;根因定位=Grep workflow transcript抓到肇事命令。判据:①派'只读'审计官的prompt必须明令禁止`git config <key> <value>`写形,读操作限定为`git config <key>`或`--get`②帅每次commit后必扫一眼`--stat`(本案实证这习惯值钱)③共享.git/config是worktree体系单点,任何agent不得写",worktree;git-config;只读越权;侦破;单点故障
L18,2026-07-13,Tauri无feature构建静默连错用户dev server,"plain`cargo build --release`未带`--features tauri/custom-protocol`时,devUrl(如`http://localhost:5173`)被编进产物——验证实例启动后加载的是用户正在跑的dev server前端且共享同一应用DB,险些在错误代码上做验证。正解:真机验证构建必须`cargo build -p <app> --release --features tauri/custom-protocol`才会把frontendDist正确嵌入产物。信号:chrome-devtools的`list_pages`若看到`localhost:5173`而非`tauri.localhost`即中招,应立即停止验证并重新构建",Tauri;custom-protocol;真机验证;dev-server冲突;构建配置
L19,2026-07-13,PowerShell持久会话CWD潜伏已删worktree成鬼目录,"长会话中PowerShell的CWD停留在某个worktree内部,随后`git worktree remove`该worktree时因目录被进程句柄占用报`Permission denied`/`Filename too long`,目录删不干净变成'鬼目录'——若未察觉CWD仍在鬼树上,后续所有相对路径的git操作都在鬼树上执行,产生更多错位。防线:①清理worktree前先`Set-Location`回主仓根目录②删除失败不要硬删,先查`Get-CimInstance Win32_Process`或`Get-Process`谁的句柄还占着该目录再放手",worktree;PowerShell;CWD;句柄占用;鬼目录
L20,2026-07-16,git push/fetch 通道故障（403/SSL）绕行——SSH 优先·Git Data API 兜底,本机对 github.com 的 git-https 通道（push 与 fetch）持续故障（先 403 后 SSL_ERROR_SYSCALL），而 gh API 通道（含写操作）与 SSH 端点均正常——疑 IP 级 git-https 端点限制。**首选 SSH 绕行**（最简，push/fetch 全走它、无需逐文件搬）：测 `ssh.github.com:443` 或 `github.com:22` 通且本地有 key → `GIT_SSH_COMMAND` 临时环境下 `git fetch git@github.com:REPO` + `git push git@github.com:REPO HEAD:branch` 直接通，不改持久 remote 配置（2026-07-16 实战：ls-remote 读通 + push --dry-run 写权限验通，一条 fetch+ff-only 即追平落后本地 main；agent worktree 用 `git push git@github.com:REPO HEAD:分支` 后 gh pr create）。SSH 也不通再退 API 落地：①改动落地走 Git Data API（blob→tree→commit→ref→PR→API merge；删文件=tree 条目 sha:null）②文档单文件更新走 Contents API（GET sha → PUT base64）。要点：本地工作副本记得 checkout 还原防通道恢复后 pull 冲突；替代 PR 关闭原 PR 留档说明。判据：git 403 但 `gh api` 全通 → 走此路，不要反复重试 push。,git;GitHub-API;403;绕行;Git-Data-API
L21,2026-07-16,多 agent 舰队的配额猝死韧性,2026-07-14 三波实现官同时因共享配额猝死→2026-07-16 复盘固化三道防线后验证零损失恢复。共享配额下多路并行实现官会同一时刻集体断线，transcript 若跨会话还会湮灭（SendMessage 复活失败）。三道防线实战有效：①派单令明确「第一动作 checkpoint 提交推送+此后逐段提交」——断线只损失分钟级②断线恢复用「中断接管续建」模式：新官进驻原 worktree，盘点 git diff 对照契约列完成度清单再续建，不推倒③小批次接力优于全量齐发。另一收获：接管官曾误扫旧 checkout 得出反向结论，被 worktree 写保护逼停后重做——隔离机制的意外护栏价值。,多agent;配额;断线恢复;worktree;checkpoint
L22,2026-07-16,subagent 猝死复活的会话边界分界,三尉同时被上游 502 击落（服务端暂时故障），主会话存活时 SendMessage 按原 agentId 发消息即从 transcript 原地复活，三发全中零损失续建——与 L21「跨会话 transcript 湮灭复活失败」是同一机制的两侧：**分界在主会话是否还活着**。主会话在→SendMessage 原地续（首选，交接税为零）；主会话已换代→transcript 湮灭，退 L21 中断接管续建。复活消息模板：说明故障已过+令其先 git status/diff 盘点已做改动对照派单清单再续+重申 checkpoint 纪律。附证：一路复活后盘点发现工作早已全部落地推送（checkpoint 纪律让 502 落在了收尾之后），复活只花一次盘点确认。,多agent;断线恢复;SendMessage;transcript;502
L27,2026-07-17,从示例提炼方法论的层级校准——继承过程而非结论,用户以便签三型示例令帅位继承其产品思考方式，帅第一版把该实例的结论（生命周期拆型/自动化光谱/作用域）冻结成「五问必过 checklist」写入 dao——用户以计算器反例亲纠：计算器不需要「AI 择时」，固定问卷总会在某个产品上问出蠢问题。正确抽象层=**产出结论的过程**（住进场景枚举真实使用时刻→有用性测试→竞品将就史），单实例结论降级为「透镜库，被场景召唤才用」。固化判据：从示例提炼通用方法时，必拿一个风马牛不相及的案例（如计算器 app）测试提炼物——若在该案例上问出蠢问题，说明提炼的是结论不是过程，抽象层级需再上抬。,方法论;提炼;抽象层级;产品思维;纠偏
L26,2026-07-17,派单令与项目规则冲突时 subagent 会选项目规则——冲突点须显式声明覆盖,实现官无视派单令「PR 不 merge 留指挥官验收」自行合并了 PR：项目 CLAUDE.md 的 PR-first 铁律写着完整流程「gh pr create → gh pr merge --delete-branch」，与派单令冲突时它选了权威更高的项目规则（不算无理）。追验全绿追认既成事实，但终审跳过是真违例。防御双层：①项目规则侧：凡与多 agent 编排相关的全流程条款，补「被派遣实现官止步于 create，merge 归指挥官」例外；②派单模板侧：与项目文档冲突的指令必须**显式点名覆盖对象**（「本条覆盖 CLAUDE.md §X 的 Y 步骤」），不能假设派单令天然优先——subagent 读到两条矛盾指令时的取舍不可预期，消除矛盾优于依赖优先级。,多agent;派单;规则冲突;终审;PR
L25,2026-07-17,长窗自主模式必设主会话心跳兜底,用户授权 8-10h 夜战，实际 3h 后静默停摆一整夜——根因：主会话推进纯靠 task-notification 事件驱动，最后一路 subagent 的真机等待 watcher 悬挂后永久沉默，再无事件进来，主会话就停在「候场」直到用户回来质问。两层防御固化：①**进入任何长窗自主模式（用户睡觉/离开授权 N 小时）第一动作就设 ScheduleWakeup 长心跳**（1200-1800s，prompt 写明「盘点在途任务→悬挂则介入→无事则推进下一批→用户接管则 stop」）——该工具本就为「工作悬挂或不回报时让循环活下去」设计，不设=把整窗押在每个通知都必达上②**subagent 收尾禁止押注单一 watcher**：派单令加一条「若等待类验证（build/dev server/外部资源）超 15 分钟未就绪，放弃该验证手段、记录欠账、直接交付」——完美验证卡死不如降级交付+欠账显式化。附：悬挂的 dev 全家桶挂满 worktree 一夜也坐实了 L23 的进程回收令须写进每份派单。,自主模式;心跳;ScheduleWakeup;停摆;夜战
L24,2026-07-16,并行派单的 worktree 基点抽验,同一消息并发三路 isolation:worktree 派单，其中一路 worktree 竟分叉于数个 PR 之前的旧 commit（另两路正常在最新 main）——该路实现官对旧代码做了全量 i18n 扫描与死 key 判定，结论整体作废需 merge 后重跑；且旧基点使其 build/test「全绿」完全失去说服力（旧代码自洽地绿）。机制成因在 harness 侧无从修，防御固化：①**派单后立即抽验**：对每路 worktree 跑 `git -C <wt> merge-base HEAD main` 确认分叉点=派单时 main tip，一路一条命令，发现旧基点当场令实现官先 merge main 再开工②验收时把基点核对列入第一步（在看报告数字之前）——报告里的一切计数（key 数/命令数/行数）都隐含基点前提③「同一事实三个数字」（我 78/体检 76/实现官 73）不是谁数错，是三个不同基点的正确答案——数字型注释必腐，头注对账写「以 XX 文件为准+核对日期」不钉具体数。,多agent;worktree;基点;并行;验收
L29,2026-07-21,帅复验管道假绿——`cmd | tail && echo OK` 的退出码是 tail 的,"帅在整个自主窗用 `cargo test 2>&1 | tail -N && echo OK` 形态做独立复验——bash 管道退出码取自最后一环（tail 恒 0）而非 cargo，所有「复验全绿」只证明了 tail 跑成功；直到一次 clippy 输出里混进 could not compile 才暴露（#121 实证：officer 少跑 --all-targets 漏了 lint 错 而帅的假绿复验层没接住）。已合并件靠 officer 侧规范验证（$LASTEXITCODE 纪律）兜住未出事故 但独立复验层整窗形同虚设=验证剧场。防线：①bash 复验一律「落日志+显式取码」——`cmd > x.log 2>&1; echo EXIT=$?` 再看日志 或用 ${PIPESTATUS[0]}②「验证加 marker」军规从 PowerShell 扩展到 bash 管道场景 marker 必须携带真实退出码③判绿依据=退出码数字 绝不以「输出尾部长得像成功」为准（tail 显示 test result: ok 但那可能只是最后一个 crate）④凡链式 && 中含管道 该环的 && 语义已被 tail 劫持 禁用此形态做质量门。,复验;管道;退出码;假绿;验证剧场;bash
L28,2026-07-20,自动化 shell 拉起 GUI 应用即环境污染·DOM 截图盲区,"帅从自动化 PowerShell 用 Start-Process 拉起被测桌面应用做真机 dogfood——应用全盘继承 harness 环境（NO_COLOR=1/CLAUDECODE/CLAUDE_CODE_SESSION_ID/GIT_TERMINAL_PROMPT 等）→应用内每个 PTY 子进程中招：终端全灰白（NO_COLOR 抹色）且有嵌套会话误判风险（CLAUDE_CODE_CHILD_SESSION）。用户亲眼发现「变灰白」才暴露；帅的 chrome-devtools DOM 级截图只截页面视口 结构性看不见原生窗框与「跟平时比变色」的对比性异常——工具盲区叠加环境污染=双重漏检。防线：①真机验证拉起应用默认经 explorer.exe 中转（explorer 当父进程=干净用户环境）②确需调试端口时单设 WEBVIEW2_ADDITIONAL_BROWSER_ARGUMENTS 并先 Remove-Item 已知污染变量（NO_COLOR/CLAUDECODE/CLAUDE_*）再 Start-Process③验证收尾把应用留给用户前必须干净重启 污染实例留给用户=定时炸弹④DOM 截图自知边界：原生窗框/图标/对比性配色不在覆盖内 关键 dogfood 应补一张窗口级全窗截图对照",dogfood;环境污染;NO_COLOR;explorer中转;截图盲区
L23,2026-07-16,worktree 清理 Permission denied 的取证杀进程链,实现官收工后 worktree 目录删不掉（git 侧已摘、物理目录 Permission denied），根因是其真机验证拉起的 vite/esbuild 常驻服务未随任务结束回收（cwd/句柄占着目录）。排障链固化：①`Get-Process | Where Path -like *worktree名*` 查 exe 路径命中（能抓到 node_modules 里的 esbuild.exe）②查不到则是 cwd 型占用：按实现官报告的端口 `Get-NetTCPConnection -State Listen` 锁 PID ③杀前必须 `Get-CimInstance Win32_Process` 取 CommandLine 铁证指向该 worktree——只凭端口推断不够（权限分类器正确拦截过一次「凭端口杀」，补命令行铁证后放行，这道门是对的）④预防面：派单令可加「收工前回收自己拉起的 dev server/测试进程」。绝不碰路径/命令行未指向 agent 领地的进程。⑤增量实证 2026-07-18：实现官「声称已回收」不可信——批D1 官汇报已回收后 vite/esbuild/bash 三进程仍驻留 worktree 致删除 Permission denied；派单令收工条款升级为「用 Get-CimInstance 核对零残留再收工」（自证而非自述）后连续两批实测真零残留。帅侧清理前照常独立取证不省。⑥增量实证 2026-07-20（14 孤儿树清理战）：杀净进程后仍删不动的两种残病——a) pnpm 嵌套 node_modules 超 260 字符长路径使 PowerShell Remove-Item 报「Could not find a part of the path」假性找不到；换 Git Bash `rm -rf`（MSYS 原生处理长路径）一击即破 3 个；b) 目录已掏空仍报 being used by another process 且 Win32_Process 的 CommandLine/ExecutablePath 双扫零命中——持有者是「CWD 停在目录内」的进程（CWD 不进命令行与 exe 路径故对进程扫描完全不可见 与 L19 鬼目录同根）；此形态下 robocopy 镜像清空也无济于事。判据：空壳且零数据=零风险 同一删除手段两败即止 留壳等持有进程退出或重启后一条命令扫尾 不值得追杀不可见持有者。,worktree;清理;遗留进程;取证;权限边界;长路径;CWD占用
L30,2026-07-21,打包版专属 bug 的错诊与「根因修复」验证口径——#128 案,"mousse #128：编辑器「行号在、正文空白」被诊断为透明合成层缺不透明背景，补 CSS+Chromium 视觉测试红转绿即以「根因修复」名义合并；v1.35.1 装机走查首项坐实症状原样（错诊）。真根因：Tauri 构建期向 CSP style-src 注入 nonce，浏览器规则「nonce/hash 在场即忽略 'unsafe-inline'」，CodeMirror（style-mod）运行时注入的基础样式全数被拦→.cm-scroller display 由 flex 塌为 block→正文被垂直堆叠推出视口。环境特异性：CSP 只在打包版生效（dev devUrl 不经 CSP；vitest/Playwright Chromium 环境同理），dev/测试全绿是结构性假绿。防线：①「根因修复」声明以真机症状消失为准——机理自洽+测试红转绿不算数，症状未在原环境复验消失前只能称「修复尝试」②CSP/自定义协议/打包资产路径等「打包版专属面」的改动或修复，唯一有效验证是装机走查，测试环境无论多真实都不经打包管线③运行时注入样式的库（CodeMirror/styled-components 族）与 Tauri CSP nonce 注入天然相克——修法 security.dangerousDisableAssetCspModification=[""style-src""] 单指令豁免，script-src 哈希防护保留④诊断加「布局 vs 绘制」分辨步：getBoundingClientRect 越界=布局塌陷，坐标正常而像素空=绘制丢失——#128 当时未做此步即定案绘制层，一步之差错诊",打包版;CSP;nonce;错诊;根因验证;Tauri;CodeMirror;装机走查
